video,dash_start_ms,dash_start_ts,interval_start_ms,interval_start_ts,interval_end_ms,interval_end_ts,start_frame,end_frame,completion_frame,completion_ms,completion_ts
training video 53 14-11.mp4,784100.0,13:04:100,784050.0,13:04:050,784533.3,13:04:533,47043,47072,47073,784550.0,13:04:550
training video 53 14-11.mp4,803600.0,13:23:600,803550.0,13:23:550,804033.3,13:24:033,48213,48242,48243,804050.0,13:24:050
training video 53 14-11.mp4,819333.3,13:39:333,819283.3,13:39:283,819766.7,13:39:767,49157,49186,49187,819783.3,13:39:783
training video 53 14-11.mp4,819800.0,13:39:800,819750.0,13:39:750,820233.3,13:40:233,49185,49214,49215,820250.0,13:40:250
training video 54 14-58.mp4,1666.7,0:01:667,1616.7,0:01:617,2100.0,0:02:100,97,126,127,2116.7,0:02:117
training video 54 14-58.mp4,2866.7,0:02:867,2816.7,0:02:817,3300.0,0:03:300,169,198,199,3316.7,0:03:317
training video 54 14-58.mp4,3166.7,0:03:167,3116.7,0:03:117,3600.0,0:03:600,187,216,217,3616.7,0:03:617
training video 54 14-58.mp4,3700.0,0:03:700,3650.0,0:03:650,4133.3,0:04:133,219,248,249,4150.0,0:04:150
training video 54 14-58.mp4,53366.7,0:53:367,53316.7,0:53:317,53800.0,0:53:800,3199,3228,3229,53816.7,0:53:817
training video 54 14-58.mp4,63933.3,1:03:933,63883.3,1:03:883,64366.7,1:04:367,3833,3862,3863,64383.3,1:04:383
training video 54 14-58.mp4,66550.0,1:06:550,66500.0,1:06:500,66983.3,1:06:983,3990,4019,4020,67000.0,1:07:000
training video 54 14-58.mp4,67316.7,1:07:317,67266.7,1:07:267,67750.0,1:07:750,4036,4065,4066,67766.7,1:07:767
training video 54 14-58.mp4,67616.7,1:07:617,67566.7,1:07:567,68050.0,1:08:050,4054,4083,4084,68066.7,1:08:067
training video 54 14-58.mp4,68050.0,1:08:050,68000.0,1:08:000,68483.3,1:08:483,4080,4109,4110,68500.0,1:08:500
training video 54 14-58.mp4,79450.0,1:19:450,79400.0,1:19:400,79883.3,1:19:883,4764,4793,4794,79900.0,1:19:900
training video 54 14-58.mp4,109083.3,1:49:083,109033.3,1:49:033,109516.7,1:49:517,6542,6571,6572,109533.3,1:49:533
training video 54 14-58.mp4,156666.7,2:36:667,156616.7,2:36:617,157100.0,2:37:100,9397,9426,9427,157116.7,2:37:117
training video 54 14-58.mp4,157500.0,2:37:500,157450.0,2:37:450,157933.3,2:37:933,9447,9476,9477,157950.0,2:37:950
training video 54 14-58.mp4,158483.3,2:38:483,158433.3,2:38:433,158916.7,2:38:917,9506,9535,9536,158933.3,2:38:933
training video 54 14-58.mp4,159283.3,2:39:283,159233.3,2:39:233,159716.7,2:39:717,9554,9583,9584,159733.3,2:39:733
training video 54 14-58.mp4,160333.3,2:40:333,160283.3,2:40:283,160766.7,2:40:767,9617,9646,9647,160783.3,2:40:783
training video 54 14-58.mp4,160766.7,2:40:767,160716.7,2:40:717,161200.0,2:41:200,9643,9672,9673,161216.7,2:41:217
training video 54 14-58.mp4,161433.3,2:41:433,161383.3,2:41:383,161866.7,2:41:867,9683,9712,9713,161883.3,2:41:883
training video 54 14-58.mp4,161750.0,2:41:750,161700.0,2:41:700,162183.3,2:42:183,9702,9731,9732,162200.0,2:42:200
training video 54 14-58.mp4,172166.7,2:52:167,172116.7,2:52:117,172600.0,2:52:600,10327,10356,10357,172616.7,2:52:617
training video 54 14-58.mp4,180916.7,3:00:917,180866.7,3:00:867,181350.0,3:01:350,10852,10881,10882,181366.7,3:01:367
training video 54 14-58.mp4,183000.0,3:03:000,182950.0,3:02:950,183433.3,3:03:433,10977,11006,11007,183450.0,3:03:450
training video 54 14-58.mp4,185183.3,3:05:183,185133.3,3:05:133,185616.7,3:05:617,11108,11137,11138,185633.3,3:05:633
training video 54 14-58.mp4,186950.0,3:06:950,186900.0,3:06:900,187383.3,3:07:383,11214,11243,11244,187400.0,3:07:400
training video 54 14-58.mp4,212066.7,3:32:067,212016.7,3:32:017,212500.0,3:32:500,12721,12750,12751,212516.7,3:32:517
training video 54 14-58.mp4,213266.7,3:33:267,213216.7,3:33:217,213700.0,3:33:700,12793,12822,12823,213716.7,3:33:717
training video 54 14-58.mp4,213566.7,3:33:567,213516.7,3:33:517,214000.0,3:34:000,12811,12840,12841,214016.7,3:34:017
training video 54 14-58.mp4,214100.0,3:34:100,214050.0,3:34:050,214533.3,3:34:533,12843,12872,12873,214550.0,3:34:550
training video 54 14-58.mp4,248866.7,4:08:867,248816.7,4:08:817,249300.0,4:09:300,14929,14958,14959,249316.7,4:09:317
training video 54 14-58.mp4,249183.3,4:09:183,249133.3,4:09:133,249616.7,4:09:617,14948,14977,14978,249633.3,4:09:633
training video 54 14-58.mp4,264216.7,4:24:217,264166.7,4:24:167,264650.0,4:24:650,15850,15879,15880,264666.7,4:24:667
training video 54 14-58.mp4,297783.3,4:57:783,297733.3,4:57:733,298216.7,4:58:217,17864,17893,17894,298233.3,4:58:233
training video 54 14-58.mp4,303300.0,5:03:300,303250.0,5:03:250,303733.3,5:03:733,18195,18224,18225,303750.0,5:03:750
training video 54 14-58.mp4,305433.3,5:05:433,305383.3,5:05:383,305866.7,5:05:867,18323,18352,18353,305883.3,5:05:883
training video 54 14-58.mp4,342733.3,5:42:733,342683.3,5:42:683,343166.7,5:43:167,20561,20590,20591,343183.3,5:43:183
training video 54 14-58.mp4,344700.0,5:44:700,344650.0,5:44:650,345133.3,5:45:133,20679,20708,20709,345150.0,5:45:150
training video 54 14-58.mp4,354800.0,5:54:800,354750.0,5:54:750,355233.3,5:55:233,21285,21314,21315,355250.0,5:55:250
training video 54 14-58.mp4,356116.7,5:56:117,356066.7,5:56:067,356550.0,5:56:550,21364,21393,21394,356566.7,5:56:567
training video 54 14-58.mp4,357983.3,5:57:983,357933.3,5:57:933,358416.7,5:58:417,21476,21505,21506,358433.3,5:58:433
training video 54 14-58.mp4,360183.3,6:00:183,360133.3,6:00:133,360616.7,6:00:617,21608,21637,21638,360633.3,6:00:633
training video 54 14-58.mp4,360883.3,6:00:883,360833.3,6:00:833,361316.7,6:01:317,21650,21679,21680,361333.3,6:01:333
training video 54 14-58.mp4,373216.7,6:13:217,373166.7,6:13:167,373650.0,6:13:650,22390,22419,22420,373666.7,6:13:667
training video 54 14-58.mp4,374016.7,6:14:017,373966.7,6:13:967,374450.0,6:14:450,22438,22467,22468,374466.7,6:14:467
training video 54 14-58.mp4,378916.7,6:18:917,378866.7,6:18:867,379350.0,6:19:350,22732,22761,22762,379366.7,6:19:367
training video 54 14-58.mp4,380000.0,6:20:000,379950.0,6:19:950,380433.3,6:20:433,22797,22826,22827,380450.0,6:20:450
training video 54 14-58.mp4,380300.0,6:20:300,380250.0,6:20:250,380733.3,6:20:733,22815,22844,22845,380750.0,6:20:750
training video 54 14-58.mp4,380600.0,6:20:600,380550.0,6:20:550,381033.3,6:21:033,22833,22862,22863,381050.0,6:21:050
training video 54 14-58.mp4,393700.0,6:33:700,393650.0,6:33:650,394133.3,6:34:133,23619,23648,23649,394150.0,6:34:150
training video 54 14-58.mp4,394950.0,6:34:950,394900.0,6:34:900,395383.3,6:35:383,23694,23723,23724,395400.0,6:35:400
training video 54 14-58.mp4,395550.0,6:35:550,395500.0,6:35:500,395983.3,6:35:983,23730,23759,23760,396000.0,6:36:000
training video 54 14-58.mp4,418250.0,6:58:250,418200.0,6:58:200,418683.3,6:58:683,25092,25121,25122,418700.0,6:58:700
training video 54 14-58.mp4,418783.3,6:58:783,418733.3,6:58:733,419216.7,6:59:217,25124,25153,25154,419233.3,6:59:233
training video 54 14-58.mp4,433850.0,7:13:850,433800.0,7:13:800,434283.3,7:14:283,26028,26057,26058,434300.0,7:14:300
training video 54 14-58.mp4,435866.7,7:15:867,435816.7,7:15:817,436300.0,7:16:300,26149,26178,26179,436316.7,7:16:317
training video 54 14-58.mp4,465166.7,7:45:167,465116.7,7:45:117,465600.0,7:45:600,27907,27936,27937,465616.7,7:45:617
training video 54 14-58.mp4,465500.0,7:45:500,465450.0,7:45:450,465933.3,7:45:933,27927,27956,27957,465950.0,7:45:950
training video 54 14-58.mp4,465816.7,7:45:817,465766.7,7:45:767,466250.0,7:46:250,27946,27975,27976,466266.7,7:46:267
training video 54 14-58.mp4,472483.3,7:52:483,472433.3,7:52:433,472916.7,7:52:917,28346,28375,28376,472933.3,7:52:933
training video 54 14-58.mp4,472850.0,7:52:850,472800.0,7:52:800,473283.3,7:53:283,28368,28397,28398,473300.0,7:53:300
training video 54 14-58.mp4,487583.3,8:07:583,487533.3,8:07:533,488016.7,8:08:017,29252,29281,29282,488033.3,8:08:033
training video 54 14-58.mp4,488166.7,8:08:167,488116.7,8:08:117,488600.0,8:08:600,29287,29316,29317,488616.7,8:08:617
training video 54 14-58.mp4,488516.7,8:08:517,488466.7,8:08:467,488950.0,8:08:950,29308,29337,29338,488966.7,8:08:967
training video 54 14-58.mp4,490033.3,8:10:033,489983.3,8:09:983,490466.7,8:10:467,29399,29428,29429,490483.3,8:10:483
training video 54 14-58.mp4,490466.7,8:10:467,490416.7,8:10:417,490900.0,8:10:900,29425,29454,29455,490916.7,8:10:917
training video 54 14-58.mp4,491433.3,8:11:433,491383.3,8:11:383,491866.7,8:11:867,29483,29512,29513,491883.3,8:11:883
training video 54 14-58.mp4,520083.3,8:40:083,520033.3,8:40:033,520516.7,8:40:517,31202,31231,31232,520533.3,8:40:533
training video 54 14-58.mp4,520733.3,8:40:733,520683.3,8:40:683,521166.7,8:41:167,31241,31270,31271,521183.3,8:41:183
training video 54 14-58.mp4,539066.7,8:59:067,539016.7,8:59:017,539500.0,8:59:500,32341,32370,32371,539516.7,8:59:517
training video 54 14-58.mp4,539800.0,8:59:800,539750.0,8:59:750,540233.3,9:00:233,32385,32414,32415,540250.0,9:00:250
training video 54 14-58.mp4,540166.7,9:00:167,540116.7,9:00:117,540600.0,9:00:600,32407,32436,32437,540616.7,9:00:617
training video 54 14-58.mp4,550100.0,9:10:100,550050.0,9:10:050,550533.3,9:10:533,33003,33032,33033,550550.0,9:10:550
training video 54 14-58.mp4,551866.7,9:11:867,551816.7,9:11:817,552300.0,9:12:300,33109,33138,33139,552316.7,9:12:317
training video 54 14-58.mp4,562516.7,9:22:517,562466.7,9:22:467,562950.0,9:22:950,33748,33777,33778,562966.7,9:22:967
training video 54 14-58.mp4,562833.3,9:22:833,562783.3,9:22:783,563266.7,9:23:267,33767,33796,33797,563283.3,9:23:283
training video 54 14-58.mp4,580100.0,9:40:100,580050.0,9:40:050,580533.3,9:40:533,34803,34832,34833,580550.0,9:40:550
training video 54 14-58.mp4,603450.0,10:03:450,603400.0,10:03:400,603883.3,10:03:883,36204,36233,36234,603900.0,10:03:900
training video 54 14-58.mp4,604433.3,10:04:433,604383.3,10:04:383,604866.7,10:04:867,36263,36292,36293,604883.3,10:04:883
training video 54 14-58.mp4,608016.7,10:08:017,607966.7,10:07:967,608450.0,10:08:450,36478,36507,36508,608466.7,10:08:467
training video 54 14-58.mp4,608450.0,10:08:450,608400.0,10:08:400,608883.3,10:08:883,36504,36533,36534,608900.0,10:08:900
training video 54 14-58.mp4,610400.0,10:10:400,610350.0,10:10:350,610833.3,10:10:833,36621,36650,36651,610850.0,10:10:850
training video 54 14-58.mp4,611433.3,10:11:433,611383.3,10:11:383,611866.7,10:11:867,36683,36712,36713,611883.3,10:11:883
training video 54 14-58.mp4,617383.3,10:17:383,617333.3,10:17:333,617816.7,10:17:817,37040,37069,37070,617833.3,10:17:833
training video 54 14-58.mp4,627116.7,10:27:117,627066.7,10:27:067,627550.0,10:27:550,37624,37653,37654,627566.7,10:27:567
training video 54 14-58.mp4,645300.0,10:45:300,645250.0,10:45:250,645733.3,10:45:733,38715,38744,38745,645750.0,10:45:750
training video 54 14-58.mp4,646666.7,10:46:667,646616.7,10:46:617,647100.0,10:47:100,38797,38826,38827,647116.7,10:47:117
training video 54 14-58.mp4,646966.7,10:46:967,646916.7,10:46:917,647400.0,10:47:400,38815,38844,38845,647416.7,10:47:417
training video 54 14-58.mp4,647266.7,10:47:267,647216.7,10:47:217,647700.0,10:47:700,38833,38862,38863,647716.7,10:47:717
training video 54 14-58.mp4,661316.7,11:01:317,661266.7,11:01:267,661750.0,11:01:750,39676,39705,39706,661766.7,11:01:767
training video 54 14-58.mp4,662033.3,11:02:033,661983.3,11:01:983,662466.7,11:02:467,39719,39748,39749,662483.3,11:02:483
training video 54 14-58.mp4,664316.7,11:04:317,664266.7,11:04:267,664750.0,11:04:750,39856,39885,39886,664766.7,11:04:767
training video 54 14-58.mp4,664783.3,11:04:783,664733.3,11:04:733,665216.7,11:05:217,39884,39913,39914,665233.3,11:05:233
training video 54 14-58.mp4,665216.7,11:05:217,665166.7,11:05:167,665650.0,11:05:650,39910,39939,39940,665666.7,11:05:667
training video 54 14-58.mp4,665550.0,11:05:550,665500.0,11:05:500,665983.3,11:05:983,39930,39959,39960,666000.0,11:06:000
training video 54 14-58.mp4,675966.7,11:15:967,675916.7,11:15:917,676400.0,11:16:400,40555,40584,40585,676416.7,11:16:417
training video 54 14-58.mp4,676316.7,11:16:317,676266.7,11:16:267,676750.0,11:16:750,40576,40605,40606,676766.7,11:16:767
training video 54 14-58.mp4,678016.7,11:18:017,677966.7,11:17:967,678450.0,11:18:450,40678,40707,40708,678466.7,11:18:467
training video 54 14-58.mp4,703966.7,11:43:967,703916.7,11:43:917,704400.0,11:44:400,42235,42264,42265,704416.7,11:44:417
training video 54 14-58.mp4,709950.0,11:49:950,709900.0,11:49:900,710383.3,11:50:383,42594,42623,42624,710400.0,11:50:400
training video 54 14-58.mp4,721433.3,12:01:433,721383.3,12:01:383,721866.7,12:01:867,43283,43312,43313,721883.3,12:01:883
training video 54 14-58.mp4,722516.7,12:02:517,722466.7,12:02:467,722950.0,12:02:950,43348,43377,43378,722966.7,12:02:967
training video 54 14-58.mp4,728083.3,12:08:083,728033.3,12:08:033,728516.7,12:08:517,43682,43711,43712,728533.3,12:08:533
training video 54 14-58.mp4,728766.7,12:08:767,728716.7,12:08:717,729200.0,12:09:200,43723,43752,43753,729216.7,12:09:217
training video 54 14-58.mp4,729683.3,12:09:683,729633.3,12:09:633,730116.7,12:10:117,43778,43807,43808,730133.3,12:10:133
training video 54 14-58.mp4,730250.0,12:10:250,730200.0,12:10:200,730683.3,12:10:683,43812,43841,43842,730700.0,12:10:700
training video 54 14-58.mp4,731983.3,12:11:983,731933.3,12:11:933,732416.7,12:12:417,43916,43945,43946,732433.3,12:12:433
training video 54 14-58.mp4,732966.7,12:12:967,732916.7,12:12:917,733400.0,12:13:400,43975,44004,44005,733416.7,12:13:417
training video 54 14-58.mp4,733266.7,12:13:267,733216.7,12:13:217,733700.0,12:13:700,43993,44022,44023,733716.7,12:13:717
training video 54 14-58.mp4,733566.7,12:13:567,733516.7,12:13:517,734000.0,12:14:000,44011,44040,44041,734016.7,12:14:017
training video 54 14-58.mp4,755383.3,12:35:383,755333.3,12:35:333,755816.7,12:35:817,45320,45349,45350,755833.3,12:35:833
training video 54 14-58.mp4,755683.3,12:35:683,755633.3,12:35:633,756116.7,12:36:117,45338,45367,45368,756133.3,12:36:133
training video 54 14-58.mp4,756050.0,12:36:050,756000.0,12:36:000,756483.3,12:36:483,45360,45389,45390,756500.0,12:36:500
training video 54 14-58.mp4,768466.7,12:48:467,768416.7,12:48:417,768900.0,12:48:900,46105,46134,46135,768916.7,12:48:917
training video 54 14-58.mp4,776216.7,12:56:217,776166.7,12:56:167,776650.0,12:56:650,46570,46599,46600,776666.7,12:56:667
training video 54 14-58.mp4,778966.7,12:58:967,778916.7,12:58:917,779400.0,12:59:400,46735,46764,46765,779416.7,12:59:417
training video 54 14-58.mp4,779516.7,12:59:517,779466.7,12:59:467,779950.0,12:59:950,46768,46797,46798,779966.7,12:59:967
training video 54 14-58.mp4,781683.3,13:01:683,781633.3,13:01:633,782116.7,13:02:117,46898,46927,46928,782133.3,13:02:133
training video 54 14-58.mp4,783133.3,13:03:133,783083.3,13:03:083,783566.7,13:03:567,46985,47014,47015,783583.3,13:03:583
training video 54 14-58.mp4,786150.0,13:06:150,786100.0,13:06:100,786583.3,13:06:583,47166,47195,47196,786600.0,13:06:600
training video 54 14-58.mp4,788200.0,13:08:200,788150.0,13:08:150,788633.3,13:08:633,47289,47318,47319,788650.0,13:08:650
training video 54 14-58.mp4,789083.3,13:09:083,789033.3,13:09:033,789516.7,13:09:517,47342,47371,47372,789533.3,13:09:533
training video 54 14-58.mp4,815200.0,13:35:200,815150.0,13:35:150,815633.3,13:35:633,48909,48938,48939,815650.0,13:35:650
training video 54 14-58.mp4,815683.3,13:35:683,815633.3,13:35:633,816116.7,13:36:117,48938,48967,48968,816133.3,13:36:133
training video 54 14-58.mp4,825350.0,13:45:350,825300.0,13:45:300,825783.3,13:45:783,49518,49547,49548,825800.0,13:45:800
training video 54 14-58.mp4,825683.3,13:45:683,825633.3,13:45:633,826116.7,13:46:117,49538,49567,49568,826133.3,13:46:133
training video 54 14-58.mp4,838266.7,13:58:267,838216.7,13:58:217,838700.0,13:58:700,50293,50322,50323,838716.7,13:58:717
training video 54 14-58.mp4,840050.0,14:00:050,840000.0,14:00:000,840483.3,14:00:483,50400,50429,50430,840500.0,14:00:500
training video 54 14-58.mp4,859450.0,14:19:450,859400.0,14:19:400,859883.3,14:19:883,51564,51593,51594,859900.0,14:19:900
training video 54 14-58.mp4,870200.0,14:30:200,870150.0,14:30:150,870633.3,14:30:633,52209,52238,52239,870650.0,14:30:650
training video 54 14-58.mp4,872666.7,14:32:667,872616.7,14:32:617,873100.0,14:33:100,52357,52386,52387,873116.7,14:33:117
training video 54 14-58.mp4,881433.3,14:41:433,881383.3,14:41:383,881866.7,14:41:867,52883,52912,52913,881883.3,14:41:883
training video 54 14-58.mp4,882500.0,14:42:500,882450.0,14:42:450,882933.3,14:42:933,52947,52976,52977,882950.0,14:42:950
training video 54 14-58.mp4,882816.7,14:42:817,882766.7,14:42:767,883250.0,14:43:250,52966,52995,52996,883266.7,14:43:267
training video 54 14-58.mp4,883500.0,14:43:500,883450.0,14:43:450,883933.3,14:43:933,53007,53036,53037,883950.0,14:43:950
training video 54 14-58.mp4,884350.0,14:44:350,884300.0,14:44:300,884783.3,14:44:783,53058,53087,53088,884800.0,14:44:800
training video 54 14-58.mp4,884783.3,14:44:783,884733.3,14:44:733,885216.7,14:45:217,53084,53113,53114,885233.3,14:45:233
training video 55 12-40.mp4,650.0,0:00:650,600.0,0:00:600,1083.3,0:01:083,36,65,66,1100.0,0:01:100
training video 55 12-40.mp4,1466.7,0:01:467,1416.7,0:01:417,1900.0,0:01:900,85,114,115,1916.7,0:01:917
training video 55 12-40.mp4,2633.3,0:02:633,2583.3,0:02:583,3066.7,0:03:067,155,184,185,3083.3,0:03:083
training video 55 12-40.mp4,5166.7,0:05:167,5116.7,0:05:117,5600.0,0:05:600,307,336,337,5616.7,0:05:617
training video 55 12-40.mp4,5466.7,0:05:467,5416.7,0:05:417,5900.0,0:05:900,325,354,355,5916.7,0:05:917
training video 55 12-40.mp4,15133.3,0:15:133,15083.3,0:15:083,15566.7,0:15:567,905,934,935,15583.3,0:15:583
training video 55 12-40.mp4,17033.3,0:17:033,16983.3,0:16:983,17466.7,0:17:467,1019,1048,1049,17483.3,0:17:483
training video 55 12-40.mp4,19100.0,0:19:100,19050.0,0:19:050,19533.3,0:19:533,1143,1172,1173,19550.0,0:19:550
training video 55 12-40.mp4,19483.3,0:19:483,19433.3,0:19:433,19916.7,0:19:917,1166,1195,1196,19933.3,0:19:933
training video 55 12-40.mp4,19933.3,0:19:933,19883.3,0:19:883,20366.7,0:20:367,1193,1222,1223,20383.3,0:20:383
training video 55 12-40.mp4,20750.0,0:20:750,20700.0,0:20:700,21183.3,0:21:183,1242,1271,1272,21200.0,0:21:200
training video 55 12-40.mp4,27616.7,0:27:617,27566.7,0:27:567,28050.0,0:28:050,1654,1683,1684,28066.7,0:28:067
training video 55 12-40.mp4,70983.3,1:10:983,70933.3,1:10:933,71416.7,1:11:417,4256,4285,4286,71433.3,1:11:433
training video 55 12-40.mp4,85866.7,1:25:867,85816.7,1:25:817,86300.0,1:26:300,5149,5178,5179,86316.7,1:26:317
training video 55 12-40.mp4,90566.7,1:30:567,90516.7,1:30:517,91000.0,1:31:000,5431,5460,5461,91016.7,1:31:017
training video 55 12-40.mp4,91500.0,1:31:500,91450.0,1:31:450,91933.3,1:31:933,5487,5516,5517,91950.0,1:31:950
training video 55 12-40.mp4,102250.0,1:42:250,102200.0,1:42:200,102683.3,1:42:683,6132,6161,6162,102700.0,1:42:700
training video 55 12-40.mp4,104250.0,1:44:250,104200.0,1:44:200,104683.3,1:44:683,6252,6281,6282,104700.0,1:44:700
training video 55 12-40.mp4,116033.3,1:56:033,115983.3,1:55:983,116466.7,1:56:467,6959,6988,6989,116483.3,1:56:483
training video 55 12-40.mp4,116333.3,1:56:333,116283.3,1:56:283,116766.7,1:56:767,6977,7006,7007,116783.3,1:56:783
training video 55 12-40.mp4,121833.3,2:01:833,121783.3,2:01:783,122266.7,2:02:267,7307,7336,7337,122283.3,2:02:283
training video 55 12-40.mp4,122966.7,2:02:967,122916.7,2:02:917,123400.0,2:03:400,7375,7404,7405,123416.7,2:03:417
training video 55 12-40.mp4,129883.3,2:09:883,129833.3,2:09:833,130316.7,2:10:317,7790,7819,7820,130333.3,2:10:333
training video 55 12-40.mp4,130450.0,2:10:450,130400.0,2:10:400,130883.3,2:10:883,7824,7853,7854,130900.0,2:10:900
training video 55 12-40.mp4,131650.0,2:11:650,131600.0,2:11:600,132083.3,2:12:083,7896,7925,7926,132100.0,2:12:100
training video 55 12-40.mp4,133350.0,2:13:350,133300.0,2:13:300,133783.3,2:13:783,7998,8027,8028,133800.0,2:13:800
training video 55 12-40.mp4,153516.7,2:33:517,153466.7,2:33:467,153950.0,2:33:950,9208,9237,9238,153966.7,2:33:967
training video 55 12-40.mp4,154016.7,2:34:017,153966.7,2:33:967,154450.0,2:34:450,9238,9267,9268,154466.7,2:34:467
training video 55 12-40.mp4,170466.7,2:50:467,170416.7,2:50:417,170900.0,2:50:900,10225,10254,10255,170916.7,2:50:917
training video 55 12-40.mp4,171283.3,2:51:283,171233.3,2:51:233,171716.7,2:51:717,10274,10303,10304,171733.3,2:51:733
training video 55 12-40.mp4,174016.7,2:54:017,173966.7,2:53:967,174450.0,2:54:450,10438,10467,10468,174466.7,2:54:467
training video 55 12-40.mp4,175416.7,2:55:417,175366.7,2:55:367,175850.0,2:55:850,10522,10551,10552,175866.7,2:55:867
training video 55 12-40.mp4,176800.0,2:56:800,176750.0,2:56:750,177233.3,2:57:233,10605,10634,10635,177250.0,2:57:250
training video 55 12-40.mp4,177450.0,2:57:450,177400.0,2:57:400,177883.3,2:57:883,10644,10673,10674,177900.0,2:57:900
training video 55 12-40.mp4,186466.7,3:06:467,186416.7,3:06:417,186900.0,3:06:900,11185,11214,11215,186916.7,3:06:917
training video 55 12-40.mp4,200166.7,3:20:167,200116.7,3:20:117,200600.0,3:20:600,12007,12036,12037,200616.7,3:20:617
training video 55 12-40.mp4,216900.0,3:36:900,216850.0,3:36:850,217333.3,3:37:333,13011,13040,13041,217350.0,3:37:350
training video 55 12-40.mp4,218283.3,3:38:283,218233.3,3:38:233,218716.7,3:38:717,13094,13123,13124,218733.3,3:38:733
training video 55 12-40.mp4,248166.7,4:08:167,248116.7,4:08:117,248600.0,4:08:600,14887,14916,14917,248616.7,4:08:617
training video 55 12-40.mp4,248650.0,4:08:650,248600.0,4:08:600,249083.3,4:09:083,14916,14945,14946,249100.0,4:09:100
training video 55 12-40.mp4,249216.7,4:09:217,249166.7,4:09:167,249650.0,4:09:650,14950,14979,14980,249666.7,4:09:667
training video 55 12-40.mp4,249516.7,4:09:517,249466.7,4:09:467,249950.0,4:09:950,14968,14997,14998,249966.7,4:09:967
training video 55 12-40.mp4,264516.7,4:24:517,264466.7,4:24:467,264950.0,4:24:950,15868,15897,15898,264966.7,4:24:967
training video 55 12-40.mp4,267950.0,4:27:950,267900.0,4:27:900,268383.3,4:28:383,16074,16103,16104,268400.0,4:28:400
training video 55 12-40.mp4,268400.0,4:28:400,268350.0,4:28:350,268833.3,4:28:833,16101,16130,16131,268850.0,4:28:850
training video 55 12-40.mp4,268700.0,4:28:700,268650.0,4:28:650,269133.3,4:29:133,16119,16148,16149,269150.0,4:29:150
training video 55 12-40.mp4,293916.7,4:53:917,293866.7,4:53:867,294350.0,4:54:350,17632,17661,17662,294366.7,4:54:367
training video 55 12-40.mp4,297283.3,4:57:283,297233.3,4:57:233,297716.7,4:57:717,17834,17863,17864,297733.3,4:57:733
training video 55 12-40.mp4,297683.3,4:57:683,297633.3,4:57:633,298116.7,4:58:117,17858,17887,17888,298133.3,4:58:133
training video 55 12-40.mp4,298933.3,4:58:933,298883.3,4:58:883,299366.7,4:59:367,17933,17962,17963,299383.3,4:59:383
training video 55 12-40.mp4,308650.0,5:08:650,308600.0,5:08:600,309083.3,5:09:083,18516,18545,18546,309100.0,5:09:100
training video 55 12-40.mp4,312150.0,5:12:150,312100.0,5:12:100,312583.3,5:12:583,18726,18755,18756,312600.0,5:12:600
training video 55 12-40.mp4,313300.0,5:13:300,313250.0,5:13:250,313733.3,5:13:733,18795,18824,18825,313750.0,5:13:750
training video 55 12-40.mp4,331783.3,5:31:783,331733.3,5:31:733,332216.7,5:32:217,19904,19933,19934,332233.3,5:32:233
training video 55 12-40.mp4,332083.3,5:32:083,332033.3,5:32:033,332516.7,5:32:517,19922,19951,19952,332533.3,5:32:533
training video 55 12-40.mp4,332533.3,5:32:533,332483.3,5:32:483,332966.7,5:32:967,19949,19978,19979,332983.3,5:32:983
training video 55 12-40.mp4,363850.0,6:03:850,363800.0,6:03:800,364283.3,6:04:283,21828,21857,21858,364300.0,6:04:300
training video 55 12-40.mp4,364800.0,6:04:800,364750.0,6:04:750,365233.3,6:05:233,21885,21914,21915,365250.0,6:05:250
training video 55 12-40.mp4,366466.7,6:06:467,366416.7,6:06:417,366900.0,6:06:900,21985,22014,22015,366916.7,6:06:917
training video 55 12-40.mp4,367416.7,6:07:417,367366.7,6:07:367,367850.0,6:07:850,22042,22071,22072,367866.7,6:07:867
training video 55 12-40.mp4,390366.7,6:30:367,390316.7,6:30:317,390800.0,6:30:800,23419,23448,23449,390816.7,6:30:817
training video 55 12-40.mp4,391300.0,6:31:300,391250.0,6:31:250,391733.3,6:31:733,23475,23504,23505,391750.0,6:31:750
training video 55 12-40.mp4,395116.7,6:35:117,395066.7,6:35:067,395550.0,6:35:550,23704,23733,23734,395566.7,6:35:567
training video 55 12-40.mp4,425650.0,7:05:650,425600.0,7:05:600,426083.3,7:06:083,25536,25565,25566,426100.0,7:06:100
training video 55 12-40.mp4,426383.3,7:06:383,426333.3,7:06:333,426816.7,7:06:817,25580,25609,25610,426833.3,7:06:833
training video 55 12-40.mp4,437833.3,7:17:833,437783.3,7:17:783,438266.7,7:18:267,26267,26296,26297,438283.3,7:18:283
training video 55 12-40.mp4,439766.7,7:19:767,439716.7,7:19:717,440200.0,7:20:200,26383,26412,26413,440216.7,7:20:217
training video 55 12-40.mp4,440800.0,7:20:800,440750.0,7:20:750,441233.3,7:21:233,26445,26474,26475,441250.0,7:21:250
training video 55 12-40.mp4,441250.0,7:21:250,441200.0,7:21:200,441683.3,7:21:683,26472,26501,26502,441700.0,7:21:700
training video 55 12-40.mp4,441550.0,7:21:550,441500.0,7:21:500,441983.3,7:21:983,26490,26519,26520,442000.0,7:22:000
training video 55 12-40.mp4,457233.3,7:37:233,457183.3,7:37:183,457666.7,7:37:667,27431,27460,27461,457683.3,7:37:683
